epoch,accuracy,loss,val_accuracy,val_loss
0,0.6306620240211487,0.7097977995872498,0.7361111044883728,0.6554504036903381
1,0.6759582161903381,0.8516572713851929,0.6805555820465088,0.600921094417572
2,0.6794425249099731,1.1360584497451782,0.7083333134651184,0.7902212142944336
3,0.6759582161903381,1.515002965927124,0.5,2.9990549087524414
4,0.7142857313156128,1.7521880865097046,0.7361111044883728,3.020646572113037
5,0.7108014225959778,1.8029491901397705,0.7083333134651184,2.735948324203491
6,0.7560975551605225,1.3258991241455078,0.7222222089767456,3.408646821975708
7,0.7804877758026123,1.07300865650177,0.7083333134651184,2.083120822906494
8,0.8780487775802612,0.4722059965133667,0.7222222089767456,2.6238231658935547
9,0.8536585569381714,0.4425223171710968,0.6111111044883728,1.8305963277816772
10,0.888501763343811,0.42630016803741455,0.6111111044883728,1.6801033020019531
11,0.8606271743774414,0.32521703839302063,0.6805555820465088,1.9424684047698975
12,0.9024389982223511,0.33397313952445984,0.6388888955116272,1.6478439569473267
13,0.9128919839859009,0.25933024287223816,0.6388888955116272,1.7062840461730957
14,0.9128919839859009,0.2387520670890808,0.6527777910232544,1.6521931886672974
15,0.891986072063446,0.2610500752925873,0.6666666865348816,1.6353408098220825
16,0.9198606014251709,0.16345316171646118,0.6388888955116272,1.7055004835128784
17,0.9268292784690857,0.20526306331157684,0.6388888955116272,1.6829882860183716
18,0.891986072063446,0.2642431855201721,0.6666666865348816,1.7105412483215332
19,0.9407665729522705,0.1502847522497177,0.6805555820465088,1.7243294715881348
