epoch,accuracy,loss,val_accuracy,val_loss
0,0.5572755336761475,8.16856575012207,0.6759259104728699,7.935894012451172
1,0.6563467383384705,8.002158164978027,0.7685185074806213,7.783802032470703
2,0.7327141165733337,7.72611141204834,0.6851851940155029,7.582535266876221
3,0.7894737124443054,7.326868534088135,0.6296296119689941,7.55789852142334
4,0.8379772901535034,6.864520072937012,0.6481481194496155,7.045465469360352
5,0.8555211424827576,6.44789981842041,0.6666666865348816,7.22362756729126
6,0.8875129222869873,5.826384544372559,0.6759259104728699,6.756444454193115
7,0.9133126735687256,5.343902111053467,0.6574074029922485,6.634038925170898
8,0.9453044533729553,4.950816631317139,0.6388888955116272,5.6655755043029785
9,0.958720326423645,4.540500640869141,0.6944444179534912,5.62958288192749
10,0.9556243419647217,4.3218255043029785,0.6666666865348816,5.315583229064941
11,0.9772961735725403,4.079695224761963,0.6666666865348816,5.469576835632324
12,0.9824561476707458,3.9107987880706787,0.6666666865348816,5.3232293128967285
13,0.9896801114082336,3.7986230850219727,0.6481481194496155,5.234429359436035
14,0.9865841269493103,3.712322950363159,0.6666666865348816,5.418822765350342
15,0.9824561476707458,3.65283203125,0.6666666865348816,5.378767967224121
16,0.9824561476707458,3.5981059074401855,0.6481481194496155,5.342268943786621
17,0.9824561476707458,3.559858560562134,0.6018518805503845,5.006099224090576
18,0.9886481165885925,3.519204616546631,0.6296296119689941,4.884128570556641
19,0.9876161217689514,3.4917173385620117,0.6666666865348816,5.477094650268555
20,0.9855521321296692,3.468771457672119,0.6111111044883728,5.125075340270996
21,0.9917440414428711,3.4359068870544434,0.6111111044883728,4.982577800750732
22,0.9845201373100281,3.438079833984375,0.6203703880310059,4.983822822570801
23,0.9793601632118225,3.4394454956054688,0.6388888955116272,5.156513690948486
24,0.9969040155410767,3.3928709030151367,0.6481481194496155,5.089496612548828
25,0.99071204662323,3.400076389312744,0.6203703880310059,4.912492752075195
26,0.9917440414428711,3.3999183177948,0.6111111044883728,4.988653182983398
27,0.983488142490387,3.4046106338500977,0.6203703880310059,4.9600653648376465
28,0.9845201373100281,3.40399432182312,0.6388888955116272,5.164496898651123
29,0.9958720207214355,3.3762807846069336,0.6203703880310059,4.861602783203125
